Position,Track Name,Artist,Streams,ID,startingDate
1,Shape of You,Ed Sheeran,51095759,7qiZfU4dY1lWllzX7mPBI3,2017-01-06
2,Castle on the Hill,Ed Sheeran,35168298,6PCUP3dWmTjcTtXY02oFdT,2017-01-06
3,Starboy,The Weeknd,24261229,5aAx2yezTd8zXrkmtKl66Z,2017-01-06
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,21671209,5knuzwU65gJK7IF5yJsuaW,2017-01-06
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,21513043,3NdDpSvN911VPGivFlV5d0,2017-01-06
6,Closer (feat. Halsey),The Chainsmokers,20618002,7BKLCZ1jbUBVqRi2FVlTVw,2017-01-06
7,Say You Won't Let Go,James Arthur,18269129,5uCax9HTNlzGybIStD3vDh,2017-01-06
8,Don't Wanna Know,Maroon 5,17879498,5MFzQMkrl1FOOng9tq6R9r,2017-01-06
9,I Feel It Coming,The Weeknd,17465511,5GXAXm5YOmYT0kL5jHvYBt,2017-01-06
10,Fake Love,Drake,17377668,343YBumqHu19cGoGARUTsd,2017-01-06
11,Let Me Love You,DJ Snake,16695321,4pdPtRcBmOSQDlJ3Fk945m,2017-01-06
12,24K Magic,Bruno Mars,15722670,6b8Be6ljOzmkOmFslEb23P,2017-01-06
13,Bad and Boujee (feat. Lil Uzi Vert),Migos,15176991,4Km5HrUvYTaSUfiSGPJeQR,2017-01-06
14,Call On Me - Ryan Riback Extended Remix,Starley,14908553,78rIJddV4X0HkNAInEcYde,2017-01-06
15,Chantaje (feat. Maluma),Shakira,14531664,6mICuAdrwEjh6Y6lroV2Kg,2017-01-06
16,Black Beatles,Rae Sremmurd,14494204,6fujklziTHa8uoM5OQSfIo,2017-01-06
17,Just Hold On,Steve Aoki,13776006,3EmmCZoqpWOTY1g2GBwJoR,2017-01-06
18,Bad Things (with Camila Cabello),Machine Gun Kelly,13257430,1PSBzsahR2AKwLJgx8ehBj,2017-01-06
19,One Dance,Drake,12766155,1xznGGDReH1oQq0xzbwXa3,2017-01-06
20,In the Name of Love,Martin Garrix,12737156,04DwTuZ2VBdJCCC5TROn7L,2017-01-06
21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,12641038,6DNtNfH8hXkqOX1sjqmI7p,2017-01-06
22,Side To Side,Ariana Grande,12593728,4pLwZjInHj3SimIyN9SnOz,2017-01-06
23,Mercy,Shawn Mendes,11536805,4TZy1wLyHec06pwgFYDh1a,2017-01-06
24,All We Know,The Chainsmokers,11067857,2rizacJSyD9S1IQUxUxnsK,2017-01-06
25,Starving,Hailee Steinfeld,10571831,1qOLh0tI7trd1zdDKxYZTe,2017-01-06
26,My Way,Calvin Harris,10215538,1vvNmPOiUuyCbgWmtc6yfm,2017-01-06
27,All Night,The Vamps,9932453,1yNyoWWWikbLhwIGWjZuDW,2017-01-06
28,Heathens,Twenty One Pilots,9890873,6i0V12jOa3mr6uu4WYhUBr,2017-01-06
29,I Would Like,Zara Larsson,9700643,4Q4jmPHwu0wrJvqrld0FQ6,2017-01-06
30,Scars To Your Beautiful,Alessia Cara,9682195,0prNGof3XqfTvNDxHonvdK,2017-01-06
31,Shed a Light,Robin Schulz,9631026,1cG0umU5TKStygKsPFZ9pY,2017-01-06
32,Now and Later,Sage The Gemini,9520712,43jBqV3j3Xi1g6wO0bhIMd,2017-01-06
33,Hear Me Now,Alok,9431454,1a5Yu5L18qNxVhXx38njON,2017-01-06
34,Love Me Now,John Legend,9359099,6nxQdXa1uAL0rY72wPZu89,2017-01-06
35,Treat You Better,Shawn Mendes,9342334,4Hf7WnR761jpxPr5D46Bcd,2017-01-06
36,"How Far I'll Go - From ""Moana""",Alessia Cara,9304477,5hYTyyh2odQKphUbMqc5gN,2017-01-06
37,By Your Side,Jonas Blue,9197229,1D3ODoXHBLpdxolZRHWV1j,2017-01-06
38,Don't Let Me Down,The Chainsmokers,8953677,0QsvXIfqM0zZoerQfsI9lm,2017-01-06
39,Reggaetón Lento (Bailemos),CNCO,8806925,3AEZUABDXNtecAOSC1qTfo,2017-01-06
40,Alone,Alan Walker,8602986,0JiVRyTJcJnmlwCZ854K4p,2017-01-06
41,Photograph,Ed Sheeran,8100952,6fxVffaTuwjgEk5h9QyRjy,2017-01-06
42,Caroline,Aminé,8084266,5GFDrUTLGJix84sNhjCG0g,2017-01-06
43,The Mack,Nevada,7948183,7aV2mflaASUmGhCErm7kBO,2017-01-06
44,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,7906264,6JV2JOEocMgcZxYSZelKcc,2017-01-06
45,We Don't Talk Anymore,Charlie Puth,7844059,68EMU2RD1ECNeOeJ5qAXCV,2017-01-06
46,Bounce Back,Big Sean,7476451,0SGkqnVQo9KPytSri1H6cF,2017-01-06
47,Cheap Thrills,Sia,7464457,27SdWb2rFzO6GWiYDBTD9j,2017-01-06
48,Broccoli (feat. Lil Yachty),DRAM,7430168,7yyRTcZmCiyzzJlNzGC9Ol,2017-01-06
49,The Greatest (feat. Kendrick Lamar),Sia,7347941,7xHWNBFm6ObGEQPaUxHuKO,2017-01-06
50,Safari,J Balvin,7310856,6rQSrBHf7HlZjtcMZ4S4bO,2017-01-06
