id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,TrackName,Artist,maxStreams,avgStreams,accumulated_streams,top1,timesTop10,timesTop25,timesTop50,timesTop100,timesTop200,weeksTop10,weeksTop25,weeksTop50,weeksTop100,weeksTop200
2XW4DbS6NddZxRPm5rMCeY,0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,198960,4,God's Plan,Drake,54891573,39235598.65,784711973,True,20,0,0,0,0,"2018-03-23,2018-03-30,2018-04-20,2018-02-09,2018-05-25,2018-05-11,2018-01-26,2018-05-18,2018-02-23,2018-05-04,2018-06-01,2018-03-16,2018-04-06,2018-03-09,2018-01-19,2018-02-16,2018-03-02,2018-02-02,2018-04-13,2018-04-27",,,,
65NwOZqoXny4JxqAPlfxRF,0.74,0.558,8,-8.115,1,0.102,0.566,0.0,0.112,0.421,140.057,220880,4,Psycho (feat. Ty Dolla $ign),Post Malone,45142484,32653046.75,261224374,False,8,0,0,0,0,"2018-03-23,2018-03-30,2018-02-23,2018-03-16,2018-04-06,2018-03-09,2018-03-02,2018-04-13",,,,
3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4,SAD!,XXXTENTACION,38010231,11901917.78,1118780271,True,11,20,16,19,28,"2018-03-23,2018-03-30,2018-06-15,2018-06-29,2018-07-13,2018-07-27,2018-03-16,2018-04-06,2018-06-22,2018-07-06,2018-07-20","2018-12-28,2018-04-20,2018-08-24,2018-08-03,2018-11-02,2018-05-11,2018-09-14,2018-09-21,2018-05-04,2018-12-07,2018-10-26,2018-08-17,2018-10-12,2018-04-13,2018-09-07,2018-08-10,2018-08-31,2018-09-28,2018-10-19,2018-10-05","2018-06-08,2018-12-14,2019-01-04,2018-05-25,2018-11-30,2018-05-18,2018-11-23,2018-11-16,2018-06-01,2019-01-25,2019-01-11,2019-02-01,2019-01-18,2018-04-27,2018-12-21,2018-11-09","2019-05-03,2019-06-14,2019-05-31,2019-05-10,2019-02-08,2019-03-15,2019-04-26,2019-03-01,2019-03-22,2019-06-21,2019-04-05,2019-04-12,2019-02-15,2019-05-24,2019-02-22,2019-03-29,2019-06-07,2019-04-19,2019-03-08","2019-10-18,2019-07-19,2019-09-20,2019-08-09,2019-10-25,2019-05-17,2019-11-01,2019-07-26,2019-12-20,2019-10-04,2019-12-06,2019-09-13,2019-12-27,2019-09-06,2019-10-11,2019-12-13,2019-07-12,2019-06-28,2019-07-05,2019-08-23,2019-11-08,2019-11-22,2019-08-16,2019-08-02,2019-08-30,2019-11-29,2019-11-15,2019-09-27"
08bNPGLD8AhKpnnERrAc6G,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202621,4,FRIENDS,Marshmello,25664581,10670289.7,714909410,False,13,5,7,14,28,"2018-03-23,2018-03-30,2018-04-20,2018-05-11,2018-05-18,2018-02-23,2018-05-04,2018-03-16,2018-04-06,2018-03-09,2018-02-16,2018-03-02,2018-04-13","2018-06-08,2018-02-09,2018-05-25,2018-06-01,2018-04-27","2018-06-15,2018-06-29,2018-07-13,2018-07-27,2018-06-22,2018-07-06,2018-07-20","2018-12-28,2018-08-24,2018-08-03,2018-09-14,2018-09-21,2019-02-01,2018-08-17,2018-10-12,2018-09-07,2018-08-10,2018-08-31,2018-09-28,2018-10-19,2018-10-05","2019-05-03,2018-12-14,2019-01-04,2019-05-10,2019-02-08,2018-11-02,2019-03-15,2019-04-26,2019-03-01,2018-11-30,2019-03-22,2018-11-23,2018-11-16,2018-12-07,2019-04-05,2019-01-25,2019-04-12,2019-02-15,2018-10-26,2019-01-11,2019-05-24,2019-01-18,2019-02-22,2019-03-29,2019-04-19,2018-12-21,2018-11-09,2019-03-08"
39N9RPD9MRb5WmoLzNzPeA,0.595,0.773,9,-4.736,0,0.0549,0.0364,0.00108,0.334,0.711,180.073,173628,4,X,Nicky Jam,25335647,14219319.21,483456853,False,10,6,7,4,7,"2018-03-23,2018-03-30,2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-03-16,2018-04-06,2018-04-13","2018-06-08,2018-06-15,2018-06-01,2018-03-09,2018-06-22,2018-04-27","2018-06-29,2018-07-13,2018-07-27,2018-03-02,2018-07-06,2018-07-20,2018-08-10","2018-08-24,2018-08-03,2018-08-17,2018-08-31","2018-12-28,2018-09-14,2018-09-21,2018-10-12,2018-09-07,2018-09-28,2018-10-05"
76cy1WJvNGJTj78UqeA5zr,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947,4,IDGAF,Dua Lipa,23715748,9817028.87,765728252,False,12,7,6,24,29,"2018-03-23,2018-03-30,2018-02-09,2018-01-26,2018-02-23,2018-03-16,2018-04-06,2018-03-09,2018-01-19,2018-02-16,2018-03-02,2018-02-02","2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-01-12,2018-04-13","2018-06-08,2018-06-15,2018-06-01,2018-06-22,2018-07-06,2018-04-27","2019-01-04,2018-12-28,2018-08-24,2018-08-03,2018-11-02,2018-09-14,2018-06-29,2018-09-21,2018-07-13,2018-12-07,2018-07-27,2018-10-26,2019-01-11,2018-08-17,2018-01-05,2018-10-12,2018-07-20,2018-09-07,2018-08-10,2018-08-31,2018-09-28,2018-10-19,2018-11-09,2018-10-05","2019-05-03,2018-12-14,2019-06-14,2019-05-31,2019-05-10,2019-02-08,2019-05-17,2019-03-15,2019-04-26,2019-03-01,2018-11-30,2019-03-22,2018-11-23,2019-06-21,2018-11-16,2019-04-05,2019-01-25,2019-04-12,2017-12-29,2019-02-15,2019-02-01,2019-05-24,2019-01-18,2019-02-22,2019-03-29,2019-06-07,2019-04-19,2018-12-21,2019-03-08"
79jX8RM5CgPqDKdGEKNW9K,0.628,0.715,5,-7.097,1,0.0541,0.0524,0.0,0.119,0.429,139.991,211600,4,In My Blood,Shawn Mendes,21904395,14431725.0,129885525,False,1,3,5,0,0,2018-03-23,"2018-03-30,2018-04-06,2018-04-13","2018-04-20,2018-05-11,2018-05-18,2018-05-04,2018-04-27",,
2ARqIya5NAuvFVHSN3bL0m,0.748,0.652,7,-3.02,1,0.058,0.208,0.0,0.128,0.431,106.914,184732,4,The Middle,Zedd,22125746,17763848.72,319749277,False,7,7,4,0,0,"2018-03-23,2018-03-30,2018-03-16,2018-04-06,2018-03-09,2018-03-02,2018-04-13","2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-02-23,2018-05-04,2018-04-27","2018-06-08,2018-06-15,2018-06-01,2018-06-22",,
3GCdLUSnKSMJhs4Tj6CV3s,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4,All The Stars (with SZA),Kendrick Lamar,31352011,10035880.59,371327582,False,5,3,6,4,19,"2018-03-23,2018-02-23,2018-03-16,2018-03-09,2018-03-02","2018-03-30,2018-04-06,2018-04-13","2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-04-27","2018-06-08,2018-06-15,2018-06-01,2018-06-22","2019-01-04,2018-12-28,2018-08-24,2018-08-03,2018-09-14,2018-06-29,2018-09-21,2018-07-13,2018-12-07,2019-01-25,2018-07-27,2019-01-11,2019-01-18,2018-08-17,2018-07-06,2018-07-20,2018-09-07,2018-08-10,2018-08-31"
4qKcDkK6siZ7Jp1Jb4m0aL,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,181263,4,Look Alive (feat. Drake),BlocBoy JB,22486856,9782560.35,557605940,False,6,9,7,9,26,"2018-03-23,2018-02-23,2018-03-16,2018-03-09,2018-02-16,2018-03-02","2018-03-30,2018-04-20,2018-02-09,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-04-06,2018-04-13","2018-06-08,2018-06-15,2018-07-13,2018-06-01,2018-06-22,2018-07-06,2018-04-27","2018-08-24,2018-08-03,2018-06-29,2018-07-27,2018-08-17,2018-07-20,2018-09-07,2018-08-10,2018-08-31","2018-12-14,2019-01-04,2018-12-28,2019-02-08,2018-11-02,2018-09-14,2019-03-01,2018-09-21,2018-11-30,2018-11-23,2018-11-16,2018-12-07,2019-01-25,2019-02-15,2018-10-26,2019-01-11,2019-02-01,2019-01-18,2019-02-22,2018-10-12,2018-12-21,2018-09-28,2018-10-19,2018-11-09,2018-10-05,2019-03-08"
