TrackName,Artist,maxStreams,avgStreams,top1,timesTop10,timesTop25,timesTop50,weeksTop10,weeksTop25,weeksTop50,accumulated_streams
Starboy,The Weeknd,25734078,,True,3,0,0,2016-12-232017-01-062016-12-30,,,75281772
Closer (feat. Halsey),The Chainsmokers,23519705,,False,3,0,0,2016-12-232017-01-062016-12-30,,,66185404
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,21671209,,False,3,0,0,2016-12-232017-01-062016-12-30,,,62682090
Let Me Love You,DJ Snake,19852704,,False,2,1,0,2016-12-232016-12-30,2017-01-06,,54513748
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,21513043,,False,3,0,0,2016-12-232017-01-062016-12-30,,,56626459
Don't Wanna Know,Maroon 5,18064374,,False,3,0,0,2016-12-232017-01-062016-12-30,,,52910540
Fake Love,Drake,17377668,,False,3,0,0,2016-12-232017-01-062016-12-30,,,51043893
Say You Won't Let Go,James Arthur,18269129,,False,3,0,0,2016-12-232017-01-062016-12-30,,,50791396
24K Magic,Bruno Mars,16736035,,False,2,1,0,2016-12-232016-12-30,2017-01-06,,48481771
I Feel It Coming,The Weeknd,17465511,,False,2,1,0,2017-01-062016-12-30,2016-12-23,,48921172
Black Beatles,Rae Sremmurd,16831609,,False,1,2,0,2016-12-23,2017-01-062016-12-30,,47456515
One Dance,Drake,15958402,,False,0,3,0,,2016-12-232017-01-062016-12-30,,42344748
Chantaje (feat. Maluma),Shakira,14531664,,False,0,3,0,,2016-12-232017-01-062016-12-30,,41094706
Cold Water (feat. Justin Bieber & MØ),Major Lazer,14278458,,False,0,3,0,,2016-12-232017-01-062016-12-30,,40062837
Call On Me - Ryan Riback Extended Remix,Starley,14908553,,False,0,3,0,,2016-12-232017-01-062016-12-30,,41248220
In the Name of Love,Martin Garrix,13936848,,False,0,3,0,,2016-12-232017-01-062016-12-30,,39528292
Bad and Boujee (feat. Lil Uzi Vert),Migos,15176991,,False,0,3,0,,2016-12-232017-01-062016-12-30,,38843374
Side To Side,Ariana Grande,12802756,,False,0,3,0,,2016-12-232017-01-062016-12-30,,37360942
Just Hold On,Steve Aoki,13776006,,False,0,3,0,,2016-12-232017-01-062016-12-30,,38224591
